audio,text
103-1240-0000.wav,CHAPTER ONE MISSUS RACHEL LYNDE IS SURPRISED MISSUS RACHEL LYNDE LIVED JUST WHERE THE AVONLEA MAIN ROAD DIPPED DOWN INTO A LITTLE HOLLOW FRINGED WITH ALDERS AND LADIES EARDROPS AND TRAVERSED BY A BROOK
103-1240-0001.wav,THAT HAD ITS SOURCE AWAY BACK IN THE WOODS OF THE OLD CUTHBERT PLACE IT WAS REPUTED TO BE AN INTRICATE HEADLONG BROOK IN ITS EARLIER COURSE THROUGH THOSE WOODS WITH DARK SECRETS OF POOL AND CASCADE BUT BY THE TIME IT REACHED LYNDE'S HOLLOW IT WAS A QUIET WELL CONDUCTED LITTLE STREAM
103-1240-0002.wav,FOR NOT EVEN A BROOK COULD RUN PAST MISSUS RACHEL LYNDE'S DOOR WITHOUT DUE REGARD FOR DECENCY AND DECORUM IT PROBABLY WAS CONSCIOUS THAT MISSUS RACHEL WAS SITTING AT HER WINDOW KEEPING A SHARP EYE ON EVERYTHING THAT PASSED FROM BROOKS AND CHILDREN UP
103-1240-0003.wav,AND THAT IF SHE NOTICED ANYTHING ODD OR OUT OF PLACE SHE WOULD NEVER REST UNTIL SHE HAD FERRETED OUT THE WHYS AND WHEREFORES THEREOF THERE ARE PLENTY OF PEOPLE IN AVONLEA AND OUT OF IT WHO CAN ATTEND CLOSELY TO THEIR NEIGHBOR'S BUSINESS BY DINT OF NEGLECTING THEIR OWN
103-1240-0004.wav,BUT MISSUS RACHEL LYNDE WAS ONE OF THOSE CAPABLE CREATURES WHO CAN MANAGE THEIR OWN CONCERNS AND THOSE OF OTHER FOLKS INTO THE BARGAIN SHE WAS A NOTABLE HOUSEWIFE HER WORK WAS ALWAYS DONE AND WELL DONE SHE RAN THE SEWING CIRCLE
103-1240-0005.wav,HELPED RUN THE SUNDAY SCHOOL AND WAS THE STRONGEST PROP OF THE CHURCH AID SOCIETY AND FOREIGN MISSIONS AUXILIARY YET WITH ALL THIS MISSUS RACHEL FOUND ABUNDANT TIME TO SIT FOR HOURS AT HER KITCHEN WINDOW KNITTING COTTON WARP QUILTS SHE HAD KNITTED SIXTEEN OF THEM
103-1240-0006.wav,AS AVONLEA HOUSEKEEPERS WERE WONT TO TELL IN AWED VOICES AND KEEPING A SHARP EYE ON THE MAIN ROAD THAT CROSSED THE HOLLOW AND WOUND UP THE STEEP RED HILL BEYOND
103-1240-0007.wav,ANYBODY WHO WENT OUT OF IT OR INTO IT HAD TO PASS OVER THAT HILL ROAD AND SO RUN THE UNSEEN GAUNTLET OF MISSUS RACHEL'S ALL SEEING EYE SHE WAS SITTING THERE ONE AFTERNOON IN EARLY JUNE THE SUN WAS COMING IN AT THE WINDOW WARM AND BRIGHT
103-1240-0008.wav,THE ORCHARD ON THE SLOPE BELOW THE HOUSE WAS IN A BRIDAL FLUSH OF PINKY WHITE BLOOM HUMMED OVER BY A MYRIAD OF BEES THOMAS LYNDE A MEEK LITTLE MAN WHOM AVONLEA PEOPLE CALLED RACHEL LYNDE'S HUSBAND WAS SOWING HIS LATE TURNIP SEED ON THE HILL FIELD BEYOND THE BARN
103-1240-0009.wav,MISSUS RACHEL KNEW THAT HE OUGHT BECAUSE SHE HAD HEARD HIM TELL PETER MORRISON THE EVENING BEFORE IN WILLIAM J BLAIR'S STORE OVER AT CARMODY THAT HE MEANT TO SOW HIS TURNIP SEED THE NEXT AFTERNOON
103-1240-0010.wav,PETER HAD ASKED HIM OF COURSE FOR MATTHEW CUTHBERT HAD NEVER BEEN KNOWN TO VOLUNTEER INFORMATION ABOUT ANYTHING IN HIS WHOLE LIFE AND YET HERE WAS MATTHEW CUTHBERT AT HALF PAST THREE ON THE AFTERNOON OF A BUSY DAY PLACIDLY DRIVING OVER THE HOLLOW AND UP THE HILL
103-1240-0011.wav,AND HIS BEST SUIT OF CLOTHES WHICH WAS PLAIN PROOF THAT HE WAS GOING OUT OF AVONLEA AND HE HAD THE BUGGY AND THE SORREL MARE WHICH BETOKENED THAT HE WAS GOING A CONSIDERABLE DISTANCE NOW WHERE WAS MATTHEW CUTHBERT GOING AND WHY WAS HE GOING THERE
